	chromosome_name	external_gene_name	description	gene_biotype
ADAM1A	12	ADAM1A	ADAM metallopeptidase domain 1A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:187]	unitary_pseudogene
ADAM10	15	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	protein_coding
ADAM11	17	ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]	protein_coding
ADAM12	10	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	protein_coding
ADAM15	1	ADAM15	ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193]	protein_coding
ADAM17	2	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	protein_coding
ADAM18	8	ADAM18	ADAM metallopeptidase domain 18 [Source:HGNC Symbol;Acc:HGNC:196]	protein_coding
ADAM19	5	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	protein_coding
ADAM2	8	ADAM2	ADAM metallopeptidase domain 2 [Source:HGNC Symbol;Acc:HGNC:198]	protein_coding
ADAM20	14	ADAM20	ADAM metallopeptidase domain 20 [Source:HGNC Symbol;Acc:HGNC:199]	protein_coding
ADAM21	14	ADAM21	ADAM metallopeptidase domain 21 [Source:HGNC Symbol;Acc:HGNC:200]	protein_coding
ADAM21P1	14	ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19822]	transcribed_processed_pseudogene
ADAM22	7	ADAM22	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]	protein_coding
ADAM23	2	ADAM23	ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]	protein_coding
ADAM28	8	ADAM28	ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]	protein_coding
ADAM29	4	ADAM29	ADAM metallopeptidase domain 29 [Source:HGNC Symbol;Acc:HGNC:207]	protein_coding
ADAM30	1	ADAM30	ADAM metallopeptidase domain 30 [Source:HGNC Symbol;Acc:HGNC:208]	protein_coding
ADAM32	8	ADAM32	ADAM metallopeptidase domain 32 [Source:HGNC Symbol;Acc:HGNC:15479]	protein_coding
ADAM33	20	ADAM33	ADAM metallopeptidase domain 33 [Source:HGNC Symbol;Acc:HGNC:15478]	protein_coding
ADAM6	14	ADAM6	ADAM metallopeptidase domain 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:213]	transcribed_unprocessed_pseudogene
ADAM7	8	ADAM7	ADAM metallopeptidase domain 7 [Source:HGNC Symbol;Acc:HGNC:214]	protein_coding
ADAM8	10	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	protein_coding
ADAM9	8	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	protein_coding
ADAMDEC1	8	ADAMDEC1	ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]	protein_coding
ADAMTS1	21	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]	protein_coding
ADAMTS10	19	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10 [Source:HGNC Symbol;Acc:HGNC:13201]	protein_coding
ADAMTS12	5	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]	protein_coding
ADAMTS13	9	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366]	protein_coding
ADAMTS14	10	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]	protein_coding
ADAMTS15	11	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305]	protein_coding
ADAMTS16	5	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]	protein_coding
ADAMTS17	15	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]	protein_coding
ADAMTS18	16	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18 [Source:HGNC Symbol;Acc:HGNC:17110]	protein_coding
ADAMTS19	5	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]	protein_coding
ADAMTS2	5	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	protein_coding
ADAMTS20	12	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20 [Source:HGNC Symbol;Acc:HGNC:17178]	protein_coding
ADAMTS3	4	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]	protein_coding
ADAMTS4	1	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:HGNC Symbol;Acc:HGNC:220]	protein_coding
ADAMTS5	21	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	protein_coding
ADAMTS6	5	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	protein_coding
ADAMTS7	15	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7 [Source:HGNC Symbol;Acc:HGNC:223]	protein_coding
ADAMTS8	11	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]	protein_coding
ADAMTS9	3	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]	protein_coding
ADAMTSL1	9	ADAMTSL1	ADAMTS like 1 [Source:HGNC Symbol;Acc:HGNC:14632]	protein_coding
ADAMTSL2	9	ADAMTSL2	ADAMTS like 2 [Source:HGNC Symbol;Acc:HGNC:14631]	protein_coding
ADAMTSL3	15	ADAMTSL3	ADAMTS like 3 [Source:HGNC Symbol;Acc:HGNC:14633]	protein_coding
ADAMTSL4	1	ADAMTSL4	ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	protein_coding
ADAMTSL5	19	ADAMTSL5	ADAMTS like 5 [Source:HGNC Symbol;Acc:HGNC:27912]	protein_coding
ADAP1	7	ADAP1	ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]	protein_coding
ADAP2	17	ADAP2	ArfGAP with dual PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16487]	protein_coding
ADAR	1	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	protein_coding
ADARB1	21	ADARB1	adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	protein_coding
ADARB2	10	ADARB2	adenosine deaminase RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]	protein_coding
ADAT1	16	ADAT1	adenosine deaminase tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]	protein_coding
ADAT2	6	ADAT2	adenosine deaminase tRNA specific 2 [Source:HGNC Symbol;Acc:HGNC:21172]	protein_coding
ADAT3	19	ADAT3	adenosine deaminase tRNA specific 3 [Source:HGNC Symbol;Acc:HGNC:25151]	protein_coding
ADCK1	14	ADCK1	aarF domain containing kinase 1 [Source:HGNC Symbol;Acc:HGNC:19038]	protein_coding
ADCK2	7	ADCK2	aarF domain containing kinase 2 [Source:HGNC Symbol;Acc:HGNC:19039]	protein_coding
ADCK5	8	ADCK5	aarF domain containing kinase 5 [Source:HGNC Symbol;Acc:HGNC:21738]	protein_coding
ADCY1	7	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	protein_coding
ADCY10	1	ADCY10	adenylate cyclase 10 [Source:HGNC Symbol;Acc:HGNC:21285]	protein_coding
ADCY2	5	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	protein_coding
ADCY3	2	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	protein_coding
ADCY4	14	ADCY4	adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]	protein_coding
ADCY5	3	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	protein_coding
ADCY6	12	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	protein_coding
ADCY7	16	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	protein_coding
ADCY8	8	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	protein_coding
ADCY9	16	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	protein_coding
ADCYAP1	18	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	protein_coding
ADCYAP1R1	7	ADCYAP1R1	ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]	protein_coding
ADD1	4	ADD1	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	protein_coding
ADD2	2	ADD2	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	protein_coding
ADD3	10	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	protein_coding
ADH1A	4	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]	protein_coding
ADH1B	4	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	protein_coding
ADH1C	4	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	protein_coding
ADH4	4	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	protein_coding
ADH5	4	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	protein_coding
ADH6	4	ADH6	alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]	protein_coding
ADH7	4	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]	protein_coding
ADHFE1	8	ADHFE1	alcohol dehydrogenase iron containing 1 [Source:HGNC Symbol;Acc:HGNC:16354]	protein_coding
ADI1	2	ADI1	acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]	protein_coding
ADIG	20	ADIG	adipogenin [Source:HGNC Symbol;Acc:HGNC:28606]	protein_coding
ADIPOQ	3	ADIPOQ	adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]	protein_coding
ADIPOR1	1	ADIPOR1	adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]	protein_coding
ADIPOR2	12	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	protein_coding
ADK	10	ADK	adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]	protein_coding
ADM	11	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	protein_coding
ADM2	22	ADM2	adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]	protein_coding
ADNP	20	ADNP	activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766]	protein_coding
ADNP2	18	ADNP2	ADNP homeobox 2 [Source:HGNC Symbol;Acc:HGNC:23803]	protein_coding
ADO	10	ADO	2-aminoethanethiol dioxygenase [Source:HGNC Symbol;Acc:HGNC:23506]	protein_coding
ADORA1	1	ADORA1	adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]	protein_coding
ADORA2A	22	ADORA2A	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]	protein_coding
ADORA2B	17	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	protein_coding
ADORA3	1	ADORA3	adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]	protein_coding
ADPGK	15	ADPGK	ADP dependent glucokinase [Source:HGNC Symbol;Acc:HGNC:25250]	protein_coding
ADPRH	3	ADPRH	ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]	protein_coding
ADPRHL1	13	ADPRHL1	ADP-ribosylhydrolase like 1 [Source:HGNC Symbol;Acc:HGNC:21303]	protein_coding
ADRA1A	8	ADRA1A	adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]	protein_coding
ADRA1B	5	ADRA1B	adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]	protein_coding
ADRA1D	20	ADRA1D	adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]	protein_coding
ADRA2A	10	ADRA2A	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	protein_coding
ADRA2B	2	ADRA2B	adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]	protein_coding
ADRA2C	4	ADRA2C	adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]	protein_coding
ADRB1	10	ADRB1	adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]	protein_coding
ADRB2	5	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	protein_coding
ADRM1	20	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	protein_coding
ADSL	22	ADSL	adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]	protein_coding
AEBP1	7	AEBP1	AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]	protein_coding
AEBP2	12	AEBP2	AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]	protein_coding
AEN	15	AEN	apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]	protein_coding
AFAP1	4	AFAP1	actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]	protein_coding
AFAP1L1	5	AFAP1L1	actin filament associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:26714]	protein_coding
AFAP1L2	10	AFAP1L2	actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901]	protein_coding
AFF1	4	AFF1	AF4/FMR2 family member 1 [Source:HGNC Symbol;Acc:HGNC:7135]	protein_coding
AFF2	X	AFF2	AF4/FMR2 family member 2 [Source:HGNC Symbol;Acc:HGNC:3776]	protein_coding
AFF3	2	AFF3	AF4/FMR2 family member 3 [Source:HGNC Symbol;Acc:HGNC:6473]	protein_coding
AFF4	5	AFF4	AF4/FMR2 family member 4 [Source:HGNC Symbol;Acc:HGNC:17869]	protein_coding
AFG3L2	18	AFG3L2	AFG3 like matrix AAA peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:315]	protein_coding
AFM	4	AFM	afamin [Source:HGNC Symbol;Acc:HGNC:316]	protein_coding
AFMID	17	AFMID	arylformamidase [Source:HGNC Symbol;Acc:HGNC:20910]	protein_coding
AFP	4	AFP	alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]	protein_coding
AFTPH	2	AFTPH	aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]	protein_coding
AGA	4	AGA	aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]	protein_coding
AGAP1	2	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]	protein_coding
AGAP11	10	AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11 [Source:HGNC Symbol;Acc:HGNC:29421]	transcribed_unprocessed_pseudogene
AGAP2	12	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16921]	protein_coding
AGAP3	7	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]	protein_coding
AGAP5	10	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5 [Source:HGNC Symbol;Acc:HGNC:23467]	protein_coding
AGAP6	10	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6 [Source:HGNC Symbol;Acc:HGNC:23466]	protein_coding
AGBL1	15	AGBL1	AGBL carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:26504]	protein_coding
AGBL2	11	AGBL2	AGBL carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:26296]	protein_coding
AGBL3	7	AGBL3	AGBL carboxypeptidase 3 [Source:HGNC Symbol;Acc:HGNC:27981]	protein_coding
AGBL4	1	AGBL4	AGBL carboxypeptidase 4 [Source:HGNC Symbol;Acc:HGNC:25892]	protein_coding
AGBL5	2	AGBL5	AGBL carboxypeptidase 5 [Source:HGNC Symbol;Acc:HGNC:26147]	protein_coding
AGER	6	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	protein_coding
AGFG1	2	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	protein_coding
AGFG2	7	AGFG2	ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177]	protein_coding
AGGF1	5	AGGF1	angiogenic factor with G-patch and FHA domains 1 [Source:HGNC Symbol;Acc:HGNC:24684]	protein_coding
AGK	7	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]	protein_coding
AGL	1	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	protein_coding
AGMAT	1	AGMAT	agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]	protein_coding
AGMO	7	AGMO	alkylglycerol monooxygenase [Source:HGNC Symbol;Acc:HGNC:33784]	protein_coding
AGPAT1	6	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]	protein_coding
AGPAT2	9	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]	protein_coding
AGPAT3	21	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	protein_coding
AGPAT4	6	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]	protein_coding
AGPAT5	8	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886]	protein_coding
AGPS	2	AGPS	alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]	protein_coding
AGR2	7	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	protein_coding
AGR3	7	AGR3	anterior gradient 3, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:24167]	protein_coding
AGRN	1	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	protein_coding
AGRP	16	AGRP	agouti related neuropeptide [Source:HGNC Symbol;Acc:HGNC:330]	protein_coding
AGT	1	AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	protein_coding
AGTPBP1	9	AGTPBP1	ATP/GTP binding carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17258]	protein_coding
AGTR1	3	AGTR1	angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]	protein_coding
AGTR2	X	AGTR2	angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338]	protein_coding
AGTRAP	1	AGTRAP	angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]	protein_coding
AGXT	2	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]	protein_coding
AGXT2	5	AGXT2	alanine--glyoxylate aminotransferase 2 [Source:HGNC Symbol;Acc:HGNC:14412]	protein_coding
AHCTF1	1	AHCTF1	AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]	protein_coding
AHCY	20	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	protein_coding
AHCYL1	1	AHCYL1	adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]	protein_coding
AHCYL2	7	AHCYL2	adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]	protein_coding
AHDC1	1	AHDC1	AT-hook DNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25230]	protein_coding
AHI1	6	AHI1	Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575]	protein_coding
AHNAK	11	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	protein_coding
AHNAK2	14	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	protein_coding
AHR	7	AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	protein_coding
AHRR	5	AHRR	aryl hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]	protein_coding
AHSA1	14	AHSA1	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]	protein_coding
AHSG	3	AHSG	alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]	protein_coding
AHSP	16	AHSP	alpha hemoglobin stabilizing protein [Source:HGNC Symbol;Acc:HGNC:18075]	protein_coding
AICDA	12	AICDA	activation induced cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:13203]	protein_coding
AIDA	1	AIDA	axin interactor, dorsalization associated [Source:HGNC Symbol;Acc:HGNC:25761]	protein_coding
AIF1	6	AIF1	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]	protein_coding
AIF1L	9	AIF1L	allograft inflammatory factor 1 like [Source:HGNC Symbol;Acc:HGNC:28904]	protein_coding
AIFM1	X	AIFM1	apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]	protein_coding
AIFM2	10	AIFM2	apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]	protein_coding
AIG1	6	AIG1	androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:21607]	protein_coding
AIM2	1	AIM2	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	protein_coding
AIMP1	4	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]	protein_coding
AIMP2	7	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	protein_coding
AIP	11	AIP	aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358]	protein_coding
AIPL1	17	AIPL1	aryl hydrocarbon receptor interacting protein like 1 [Source:HGNC Symbol;Acc:HGNC:359]	protein_coding
AIRE	21	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]	protein_coding
AJAP1	1	AJAP1	adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]	protein_coding
AJUBA	14	AJUBA	ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]	protein_coding
AK1	9	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	protein_coding
AK2	1	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	protein_coding
AK3	9	AK3	adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]	protein_coding
AK4	1	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	protein_coding
AK5	1	AK5	adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]	protein_coding
AK7	14	AK7	adenylate kinase 7 [Source:HGNC Symbol;Acc:HGNC:20091]	protein_coding
AK8	9	AK8	adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526]	protein_coding
AKAP1	17	AKAP1	A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]	protein_coding
AKAP10	17	AKAP10	A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]	protein_coding
AKAP11	13	AKAP11	A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]	protein_coding
AKAP12	6	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	protein_coding
AKAP13	15	AKAP13	A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]	protein_coding
AKAP14	X	AKAP14	A-kinase anchoring protein 14 [Source:HGNC Symbol;Acc:HGNC:24061]	protein_coding
AKAP17A	X	AKAP17A	A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]	protein_coding
AKAP3	12	AKAP3	A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373]	protein_coding
AKAP4	X	AKAP4	A-kinase anchoring protein 4 [Source:HGNC Symbol;Acc:HGNC:374]	protein_coding
AKAP5	14	AKAP5	A-kinase anchoring protein 5 [Source:HGNC Symbol;Acc:HGNC:375]	protein_coding
AKAP6	14	AKAP6	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	protein_coding
AKAP7	6	AKAP7	A-kinase anchoring protein 7 [Source:HGNC Symbol;Acc:HGNC:377]	protein_coding
AKAP8	19	AKAP8	A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]	protein_coding
AKAP8L	19	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	protein_coding
AKAP9	7	AKAP9	A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]	protein_coding
AKIP1	11	AKIP1	A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]	protein_coding
AKIRIN1	1	AKIRIN1	akirin 1 [Source:HGNC Symbol;Acc:HGNC:25744]	protein_coding
AKIRIN2	6	AKIRIN2	akirin 2 [Source:HGNC Symbol;Acc:HGNC:21407]	protein_coding
AKNA	9	AKNA	AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108]	protein_coding
AKNAD1	1	AKNAD1	AKNA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28398]	protein_coding
AKR1A1	1	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	protein_coding
AKR1B1	7	AKR1B1	aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]	protein_coding
